ID,職業名,存在開始時期,起源,存在終了時期,実在,国,スキル名,そのスキルが必須かどうか,資格名,その資格が必須かどうか,会社名,才能名,その才能が必須かどうか,興味・関心,その興味・関心が必須かどうか,職業概要,平均年齢,平均代謝時刻,男性率,平均休日日数,結婚年齢,残業時間,結婚率,年収,平均滞在年,industry
1,パーカッショニスト,1850,パーカッショニストという専門職が確立されたのは、19世紀中頃に西洋のクラシックオーケストラにおいて打楽器セクションが大幅に拡張され、ティンパニだけでなくバスドラム、シンバル、スネアドラムなどが定期的に導入されるようになった時期です。ベルリオーズ、ワーグナー、そして後のチャイコフスキーといった作曲家たちが、多様な打楽器を用いた複雑な楽譜を書くようになり、これにより複数の打楽器を演奏できる専門の音楽家の必要性が高まり、パーカッショニストという独自の職種が確立されました。,,1,不明,"コミュニケーションスキル,リズム感,演奏スキル,楽器の知識,音楽理論","true,true,true,false,false",打楽器演奏技術認定,FALSE,"ヤマハ株式会社,ローランド株式会社,Pearl Corporation,Ludwig Drums","リズム感,継続力,論理的思考力,協調性","true,true,false,false","最新技術への関心,音楽への情熱,リズムへの興味,ステージパフォーマンスへの興味","false,true,true,false",パーカッショニストは、打楽器の演奏を専門とする音楽家です。彼らは様々な種類の打楽器を駆使してリズムを生み出し、音楽の中で重要な役割を果たします。主にオーケストラ、バンド、ソロでの演奏活動を行い、ドラマーと同様にライブパフォーマンスや録音セッションでも活躍します。音楽のジャンルによって使用する楽器の種類が変わるため、幅広い音楽的知識と技術が求められます。さらに、リズム感覚や協調性も重要な要素となります。,,18:00,,,,,,400,5.5,広告・出版・マスコミ・エンタメ業
2,サックスプレイヤー,1846,サクソフォーンがベルギーの楽器製作者アドルフ・サックスによって特許登録された年です。特許取得後、楽器としての認知度が高まり、軍楽隊などでの採用が進んだことで、それを専門に演奏する「サックスプレイヤー」という職業が成立し始めました。,,1,,"コミュニケーションスキル,音楽理論,サクソフォン演奏技術,リズム感覚","false,true,true,true","音楽関連の学位またはディプロマ,サックス演奏グレード試験","false,false","Buffet Crampon,Yanagisawa Wind Instruments Co., Ltd.,Yamaha Corporation","継続力,音楽的表現力,演奏技術,創造力,協調性","true,true,true,false,false","音楽への情熱,自己表現への興味,演奏技術の向上に対する興味","true,true,true",サックスプレイヤーは、サクソフォンを演奏する音楽家です。サクソフォンはジャズ、クラシック、ポップスなど様々な音楽ジャンルで重要な役割を果たす楽器です。サックスプレイヤーは技術的な演奏能力だけでなく、音楽の表現力や創造性を高めるための感性も必要とされます。演奏活動はソロやバンドの一員として行われることが多く、音楽イベントや録音スタジオでの活動も含まれます。また、教職として音楽教育に携わることもあります。,42.5,19:00,75,2,35,5,50,500,10,広告・出版・マスコミ・エンタメ業
3,トランペッター,1350,トランペッターという職業は、14世紀のヨーロッパにおいて明確に確立されました。この時代、トランペット奏者は王族、貴族、都市に雇われた重要な音楽家であり、儀式的な職務、軍事信号、そして音楽演奏のために活動しました。彼らは特権的な地位を享受し、その役割は単純な信号伝達を超えて、より複雑な音楽表現を含むようになり、専門職としての地位を確立していきました。英語の 'trumpeter' という言葉自体も14世紀後半には登場しています。,,1,,"コミュニケーションスキル,音楽理論の知識,演奏技術,音感","false,true,true,false","音楽大学の学位,音楽コンクールの受賞歴","false,false",Bach Stradivarius,"継続力,音楽的感性,協調性,空間認識能力","true,true,false,false","音楽への情熱,演奏することへの関心","true,true",トランペッターは主にトランペットという金管楽器を演奏する音楽家です。クラシック音楽、ジャズ、ポップス、オーケストラやバンドなど、さまざまな音楽ジャンルとサウンドにおいて重要な役割を果たします。演奏のみならず楽譜の読解や音楽理論への理解も必要です。また、演奏技術の向上には日々の練習が不可欠です。,35,18:30,90,2,32,10,50,500,5,広告・出版・マスコミ・エンタメ業
4,校正者,1455,活版印刷術の発明（1440年頃）と普及により、グーテンベルク聖書が完成した1455年頃には、大量生産される書籍の正確性を確保するために校正という専門的な作業が不可欠となり、校正者が職業として確立され始めました。,,1,,"コミュニケーションスキル,言語精度,注意深さ,知識の更新能力,SQL","true,true,true,false,false",,FALSE,"株式会社 新潮社,株式会社 文藝春秋,株式会社 集英社","論理的思考力,細部への注意力,優れた言語能力,継続力","true,true,true,false","文法に対する注意力,言語に対する興味,読解力","true,true,false",校正者は、文章や出版物に含まれる誤字脱字や文法ミス、レイアウトの不備などをチェックし、修正する職業です。印刷前の最終確認として重要な役割を果たし、文書の質を高めるために注意深く作業を行います。語学能力が求められることが多く、細部へのこだわりや集中力も重要です。,41.5,18:30,36.9,2,31,10.5,45,450,5.2,広告・出版・マスコミ・エンタメ業
5,ミュージカル俳優,1866,ミュージカル俳優という職業は、舞台上で歌、ダンス、演技を通して物語を表現するアーティストと定義されています。この定義に合致する初期の舞台作品として、1866年にニューヨークで初演された「The Black Crook（ブラック・クルック）」が挙げられます。これは、メロドラマに歌、ダンス、そして大規模なバレエ団を組み合わせた作品で、現代のミュージカルの原型の一つとされています。この作品の成功により、歌唱、演技、そして身体表現を統合して物語を伝えることができる演者の需要が生まれ、ミュージカル俳優という専門職が誕生するきっかけとなりました。,,1,,"コミュニケーションスキル,演技力,歌唱力,ダンススキル,身体表現能力,台本記憶力","true,true,true,true,true,true","俳優養成所修了証,ダンスや声楽の認定証","false,false","劇団四季,東宝芸能,ホリプロ・ミュージカルアカデミー","継続力,演技力,歌唱力,ダンス能力,舞台対応力","true,true,true,false,false","演技への情熱,歌唱への興味,ダンスへの関心,舞台芸術への理解,チームワークへの興味,最新技術への関心","true,true,true,false,false,false",ミュージカル俳優は、舞台上で歌、ダンス、演技を通して物語を表現するアーティストです。彼らは通常、多様なスキルセット、特に声楽、ダンス、演技の技術を必要とし、複雑な舞台パフォーマンスをこなします。ミュージカル俳優は劇場での公演を主要な活動の場としており、リハーサルや公演のために長時間の練習やトレーニングが求められます。観客に感情を伝える能力が重要で、表現力豊かなパフォーマンスを披露することが求められます。,,18:00,,,,,,400,5.2,広告・出版・マスコミ・エンタメ業
6,スポーツ審判員,776,古代オリンピックの開始時期に遡ります。紀元前776年に始まったとされる古代オリンピックでは、「ヘラノディカイ」（Hellanodikai）と呼ばれる審判員が存在し、競技のルールを監督し、公正な運営を確保する役割を担っていました。彼らは現代のスポーツ審判員と同様に、競技の進行中にルール違反を判定し、勝者を決定していました。,,1,,"コミュニケーションスキル,ルール知識,観察力,判断力,フィジカルフィットネス","true,true,true,true,false",スポーツ審判資格,TRUE,"国際サッカー連盟（FIFA）,日本プロサッカーリーグ（Jリーグ）,メジャーリーグベースボール（MLB）,全日本柔道連盟,バスケットボール・アソシエーション（NBA）","論理的思考力,判断力,継続力,公平さ","true,true,false,true","スポーツルールへの関心,公平な判定への関心,ゲームの流れやプレイスタイルへの興味,コミュニケーションスキルへの興味","true,true,false,false",スポーツ審判員は、競技のルールを監督し、公正な試合運営を確保する役割を担っています。彼らは試合の進行中にルール違反を判定し、必要に応じてペナルティを課します。審判員は特定のスポーツに特化しており、そのスポーツの規則や流れに精通しています。正確な判断力と高い集中力が求められ、多くの場合、試合の結果に直接影響を与えるため、公正さと誠実さが重要な特性です。,42.1,20:00,85.3,1.5,34.5,25.2,45.8,600,8.2,スポーツ・レジャー・イベント業
7,ディスプレイデザイナー,1900,20世紀初頭、欧米における百貨店や大規模店舗の急増に伴い、商品の魅力を最大限に引き出すための専門的なディスプレイ技術と空間デザインが求められるようになりました。これにより、従来の店員が行っていた陳列作業から独立し、店舗や展示会の空間設計を専門とする「ディスプレイデザイナー」という職種が確立され始めました。,,1,,"コミュニケーションスキル,Adobe Creative Suite,UX/UI design principles,3D modeling,Typography","true,true,true,false,false",基本情報技術者試験,FALSE,"トヨタ自動車,シャープ,ソニー,パナソニック","美的センス,論理的思考力,継続力,ソフトウェアスキル（特にCADやAdobe製品）,コミュニケーション能力","true,false,false,true,false","視覚芸術への興味,最新技術への関心,空間デザインへの興味","true,false,true",ディスプレイデザイナーは、商品の魅力を引き立てるために店舗や展示会などの空間をデザインする職業です。彼らは商品プレゼンテーションの方法を考え、店舗のディスプレイやイベントの展示ブースを設計します。この職業には、店舗のテーマに基づいた装飾や照明、レイアウトの構造化が求められます。クリエイティブな視点や細部への注意力、空間デザインに関する知識が必要です。,32,19:30,60,2,31,15,45,550,4.5,デザイン・アート・クリエイティブ業
8,映画バイヤー,1905,映画バイヤーの役割は、映画が映画館にレンタルされる形式が確立された時期に始まりました。20世紀初頭、映画製作会社が映画プリントを直接販売するのではなく、独立した「フィルム交換業者」（映画配給会社や貸し出し業者）が映画製作者から作品を購入し、それを各地の映画館にレンタルするビジネスモデルが台頭しました。このビジネスモデルは1905年頃には確立され、交換業者は観客の好みや市場のトレンドを考慮して上映する映画を選定し、購入する必要が生じました。これが、現代の映画バイヤーの職務の基礎を築いたと言えます。,,1,,"コミュニケーションスキル,市場調査と分析,交渉スキル","true,true,true","映画産業認定,マーケティング資格,映画スタディーズ資格","false,false,false","東映,松竹,東宝,ギャガ,ショウゲート","論理的思考力,継続力,映画業界への深い理解,トレンド分析能力,交渉力","false,false,true,true,false","最新技術への関心,映画への情熱","false,true",映画バイヤーは、映画館や配信サービス等のメディアに映画を提供する役割を担います。彼らは世界中の映画祭や市場で映画を選定し、ライセンス交渉を通じてこれらの映画を自社に提供します。映画の選定には、視聴者の好み、市場のトレンド、費用対効果など様々な要素が考慮されます。プロモーションやマーケティングの戦略立案にも関与することがあります。,39.1,19:00,81.8,1.9,32.2,18.5,38.6,620,5.8,広告・出版・マスコミ・エンタメ業
9,舞台機構調整技能士,1953,舞台機構調整技能士が担当する業務内容は、コンサートホールや劇場、テレビスタジオなどで使用される舞台装置、照明、音響などの技術的な設置、操作、保守といった広範な舞台技術の専門分野に属します。これらの専門技術を持つ職種が日本において明確に確立され、専門職として組織化されたのは、1953年に日本舞台技術者協会が設立されたことが大きな節目とされています。この協会の設立は、舞台技術者が一つの専門職集団として認識され、技術向上と専門性の確立を目指す動きがあったことを示しています。技能士制度としての「舞台機構調整技能士」の資格自体は1989年に創設されましたが、その基盤となる専門職としての舞台技術者は1953年にはすでに存在し、その専門性を深めていました。,,1,日本,"舞台設営技術,音響技術,コミュニケーションスキル,照明技術,舞台管理スキル","true,true,true,false,false",舞台機構調整技能士資格,TRUE,"株式会社宝塚舞台,松竹株式会社,東宝株式会社,トヨタ自動車","論理的思考力,技術的知識とスキル,継続力,スムーズなコミュニケーション能力,チームワーク","true,true,false,true,false","最新技術への関心,舞台芸術への興味,機械操作やメカニズムへの興味","false,true,true",舞台機構調整技能士は、コンサートホールや劇場、テレビスタジオなどで使用される舞台装置の設置、操作、保守を行う専門職です。具体的な仕事には、照明機材の設置や調整、舞台装置の組み立て、音響機器の操作、舞台設備のメンテナンスが含まれます。この職業は、舞台芸術やイベントの成功に欠かせない重要な役割を果たします。技術的な知識と実務経験が求められ、問題発生時の迅速な対応能力も必要です。,32,19:30,85,2,31,15,45,550,4.5,広告・出版・マスコミ・エンタメ業
10,ローディー,1965,1960年代半ば、ビートルズやローリング・ストーンズなどのバンドによる大規模なロックコンサートと世界ツアーが爆発的に増加しました。この時期、アンプ、PAシステム、照明機材など、音楽機材の規模と複雑さが急速に増大し、ミュージシャン自身がすべての運搬、設置、メンテナンスを行うことが困難になりました。このため、ツアーを成功させるためには、当初は様々な名称で呼ばれながらも、現在のローディーの役割を担う専門のサポートスタッフが不可欠となり、その職務が専門職として確立され始めたのがこの時期とされています。,,1,,"コミュニケーションスキル,機材の基本的な扱い方,体力と持久力,時間管理スキル","true,true,true,false","運転免許,フォークリフト運転技能者","true,false","斎久工業株式会社,アルモント株式会社","継続力,コミュニケーション能力,体力,機材知識","true,true,true,false","音楽への情熱,体力,最新技術への関心","true,true,false",ローディーとは、音楽業界で楽器や音響機材の運搬、設置、調整などを行うサポートスタッフのことです。バンドやアーティストのコンサートやツアーに同行し、ステージの準備や撤収、機材の保守管理などを担当します。,32,19:30,85,2,31,15,45,550,4.5,広告・出版・マスコミ・エンタメ業
